candidate_id,review_text,source_tier,label,annotation_number
REV-0000010,Naa ra man diay nis duol namo nga Lamiang litson manok... Lami kaayo ang timplada guys. Must try!,TIER_A_CONFIDENT,not_complaint,1
REV-0000038,gamy ang portion g kwaan jud!!! cg bya jud ko order hope d ma ingon ani blik .. ka gool,TIER_A_CONFIDENT,complaint,2
REV-0000080,I'm a little disappointed. grabe na lagi ka Gamay Inyo toppings...mura kog ga order ug rice nya naay side dish na chorizo! arang nlng Gamay Ang lechon sisig pro ni Gmay jud Ang toppings. not sme as b4,TIER_A_CONFIDENT,complaint,3
REV-0000194,Dili jud mu follow sa instruction. Tam is kaayo ang zero percent sugar. Tskkk,TIER_A_CONFIDENT,complaint,4
REV-0000219,"nagkadugay nagka gamay ang chicken. and disappointing kay dili spicy ang pesto, mas lami oang palapa sa mga pater",TIER_A_CONFIDENT,complaint,5
REV-0000232,lami ug barato. daghan ang serving,TIER_A_CONFIDENT,not_complaint,6
REV-0000271,unta naay dagko na serve good for 4 ky pramis lami,TIER_A_CONFIDENT,not_complaint,7
REV-0000370,"Lami jud kaayo ang pastil, murag sya ang pinaka lami sa tanang pastil na akong natilawan. As for the chicken lami pud, unta ibalik na ang garlic parmesan na flavor. thanks!",TIER_A_CONFIDENT,not_complaint,8
REV-0000372,The best jud ang pastil and chicken crispy japon and lami ang timpla.,TIER_A_CONFIDENT,not_complaint,9
REV-0000375,"Lami pud ang strawberry shake, lasa jud ang strawberry 🥰",TIER_A_CONFIDENT,not_complaint,10
REV-0000574,"okay Ang lasa sa lechon ug chowfan not bad, perooo Ang coke lang jud I expected na in a bottle sya but I'm disappointed not worth the price perte rasab ka Gamay and infairness Fast delivery.",TIER_A_CONFIDENT,complaint,11
REV-0000579,Lami and daghan ang serving sa canton guisado.,TIER_A_CONFIDENT,not_complaint,12
REV-0000584,Grabeha pud ka gamay sa rice. For 121 + delivery fee dli worth it! Dako kaug container pro wa mn lng napuno 👎Ayaw mog palit dri kung gigutom kau mo ky maka pasmo!,TIER_A_CONFIDENT,complaint,13
REV-0000740,Gamay kaau ang chicken pops unlike pag order naku last time 4pcs rasya unya gagmay pagyud kaau hehe nakuratan ko. Pati ang noodles naku last time daghan og sabaw pag abot dria uga kaau what happen? ☹,TIER_A_CONFIDENT,complaint,14
REV-0001013,First time ordering here! Super lami ang red velvet cheescake and turmeric w honey💞🥰 unta naay lain kapilian sa snacks aside sa sandwich. Good job!,TIER_A_CONFIDENT,not_complaint,15
REV-0001135,"No wonder tag 160+ ra ang chicken bbq kay gamay man sad diay. But the taste is on point, LAMI!!",TIER_A_CONFIDENT,not_complaint,16
